route,route_name,event_id,timestamp_or_date,issuing_unit,receiving_units,action_type,dependency_type,implementation_marker,public_information_marker,source_citation,confidence_note,scale_tag
nz,New Zealand,nz-a-001,2020-01-27,strategic executive coordination,public-health policy and command; public-service system coordination; border-control coordination; public-information coordination,formal activation of the national security system,directive or authority dependency; information or reporting dependency,implementation initiated,none recorded,`src-oag-covid-response-2022` (Part 4); `src-oag-covid-appendix1-2022`,high,sigma1; sigma2
nz,New Zealand,nz-a-002,2020-02-28,public-health policy and command,strategic executive coordination; border-control coordination; public-information coordination,first confirmed case and explicit shift in pandemic-phase posture,information or reporting dependency; public-communication dependency,decision announced,major public briefing,"`src-oag-covid-response-2022` (Part 4, para. 4.24); `src-royal-commission-phase-one-2024`",high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-001,2020-03-02,strategic executive coordination,public-health policy and command; public-service system coordination,creation of the Ad Hoc Cabinet Committee on the Covid-19 Response,directive or authority dependency,decision announced,none recorded,"`src-oag-covid-response-2022` (Part 5, para. 5.15); `src-royal-commission-phase-one-2024`",high,sigma1; sigma2
nz,New Zealand,nz-p-002,2020-03-06,strategic executive coordination,emergency-management coordination; public-health policy and command; public-service system coordination,activation of the National Crisis Management Centre at the Ministry of Health,directive or authority dependency; resource or logistics dependency,implementation initiated,none recorded,"`src-oag-covid-response-2022` (Part 5, para. 5.7); `src-oag-covid-appendix1-2022`",high,sigma1; sigma2
nz,New Zealand,nz-p-003,2020-03-11,strategic executive coordination,emergency-management coordination; public-health policy and command; public-service system coordination,appointment of an All-of-Government Controller to connect the national security system and the operational response,directive or authority dependency; information or reporting dependency,implementation initiated,none recorded,"`src-oag-covid-response-2022` (Part 5, paras. 5.8-5.10); `src-oag-covid-appendix1-2022`",high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-008,2020-03-14,strategic executive coordination,public-health policy and command; border-control coordination; enforcement and compliance; public-information coordination,14-day self-isolation for arrivals and strengthened border-health measures announced,legal or compliance dependency; public-communication dependency; directive or authority dependency,decision announced,official guidance update,`src-beehive-major-steps-covid-2020`; `src-oag-covid-response-2022`; `src-royal-commission-phase-one-2024`,high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-004,2020-03-19,strategic executive coordination,public-health policy and command; public-service system coordination; border-control coordination; public-information coordination,replacement of the Ad Hoc Cabinet Committee by the Covid-19 Ministerial Group with urgent decision authority,directive or authority dependency,implementation initiated,none recorded,"`src-oag-covid-response-2022` (Part 5, para. 5.16); `src-royal-commission-phase-one-2024`",high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-009,2020-03-19,strategic executive coordination,public-health policy and command; border-control coordination; enforcement and compliance; public-information coordination,closure of the border to most non-citizens and non-residents,legal or compliance dependency; directive or authority dependency; public-communication dependency,implementation initiated,official guidance update; enforcement or compliance communication,`src-beehive-stronger-border-measures-2020`; `src-oag-covid-response-2022`; `src-royal-commission-phase-one-2024`,high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-005,2020-03-21,strategic executive coordination,public-health policy and command; public-information coordination; enforcement and compliance; public-service system coordination,announcement of the four-stage Alert Level framework,directive or authority dependency; public-communication dependency,decision announced,alert-level communication,"`src-beehive-alert-level-2-2020`; `src-oag-covid-response-2022` (Part 5, para. 5.17); `src-royal-commission-phase-one-2024`",high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-010,2020-03-23,strategic executive coordination,public-health policy and command; emergency-management coordination; public-service system coordination; border-control coordination; enforcement and compliance; public-information coordination,move to Alert Level 3 with transition to Level 4 in 48 hours announced,directive or authority dependency; legal or compliance dependency; public-communication dependency,decision announced,alert-level communication; enforcement or compliance communication,`src-beehive-level-3-4-2020`; `src-oag-covid-response-2022`; `src-royal-commission-phase-one-2024`,high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-006,2020-03-25,strategic executive coordination,public-health policy and command; emergency-management coordination; border-control coordination; enforcement and compliance; public-information coordination,declaration of a state of national emergency and entry into Level 4 lockdown,legal or compliance dependency; directive or authority dependency; public-communication dependency,implementation initiated,alert-level communication; enforcement or compliance communication,"`src-oag-covid-response-2022` (Part 5, paras. 5.17-5.18); `src-royal-commission-phase-one-2024`",high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-007,2020-04-01,strategic executive coordination,public-health policy and command; emergency-management coordination; public-service system coordination; border-control coordination; enforcement and compliance; public-information coordination,Quin-centred all-of-government response structure visible in National Action Plan 2.0,information or reporting dependency; directive or authority dependency,implementation observed,none recorded,"`src-dpmc-national-action-plan-v2-2020`; `src-dpmc-all-of-government-system-2020`; `src-dpmc-public-information-2020`; `src-oag-covid-response-2022` (Part 5, Figure 3 and paras. 5.31-5.33); `src-oag-covid-appendix1-2022`",high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-019,2020-03-31,strategic executive coordination,public-health policy and command; public-service system coordination; border-control coordination; public-information coordination,all-of-government plan for managing stranded people formalized in Cabinet material,directive or authority dependency; resource or logistics dependency; information or reporting dependency,implementation initiated,none recorded,`src-dpmc-stranded-people-2020`,high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-014,2020-04-04,enforcement and compliance,public-health policy and command; public-information coordination,additional Alert Level 4 rules clarified through Police guidance,legal or compliance dependency; public-communication dependency; information or reporting dependency,official guidance update,official guidance update; enforcement or compliance communication,`src-police-alert-level-4-guidelines-2020`,high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-020,2020-04-02,public-service system coordination,public-health policy and command; emergency-management coordination; border-control coordination; public-information coordination,welfare coordination for people in quarantine and managed isolation formalized,resource or logistics dependency; information or reporting dependency; public-communication dependency,implementation initiated,none recorded,`src-dpmc-quarantine-managed-isolation-welfare-2020`,high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-021,2020-04-09,emergency-management coordination,strategic executive coordination; public-service system coordination; enforcement and compliance,guidance on the use of CDEM Act key powers updated for the COVID-19 state of national emergency,legal or compliance dependency; directive or authority dependency; information or reporting dependency,implementation initiated,none recorded,`src-dpmc-cdem-powers-guidance-2020`,high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-022,2020-04-14,strategic executive coordination,public-health policy and command; emergency-management coordination; public-service system coordination; enforcement and compliance; public-information coordination,review-preparation for New Zealand's Level 4 status formalized in Cabinet material,directive or authority dependency; information or reporting dependency; public-communication dependency,implementation initiated,none recorded,`src-dpmc-review-level4-status-2020`; `src-dpmc-review-alert-level4-paper-minute-2020`,high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-016,2020-04-29,enforcement and compliance,public-health policy and command; border-control coordination; public-information coordination,Aviation Security and Police continue joint reassurance patrols and quarantine/isolation compliance checks,legal or compliance dependency; resource or logistics dependency; public-communication dependency,implementation observed,enforcement or compliance communication,`src-police-avsec-working-together-2020`,high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-011,2020-04-16,strategic executive coordination,public-health policy and command; public-service system coordination; enforcement and compliance; public-information coordination,Alert Level 3 restrictions announced,directive or authority dependency; legal or compliance dependency; public-communication dependency,decision announced,alert-level communication; enforcement or compliance communication,`src-beehive-alert-level-3-restrictions-2020`; `src-royal-commission-phase-one-2024`,high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-012,2020-04-20,strategic executive coordination,public-health policy and command; public-service system coordination; enforcement and compliance; public-information coordination,date for move to Alert Level 3 publicly announced,directive or authority dependency; legal or compliance dependency; public-communication dependency,decision announced,alert-level communication,`src-beehive-date-move-level-3-2020`; `src-royal-commission-phase-one-2024`,high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-015,2020-04-20,strategic executive coordination,public-health policy and command; public-service system coordination; enforcement and compliance; public-information coordination,implementation and compliance framework for the move to Alert Level 3 detailed in Cabinet material,directive or authority dependency; legal or compliance dependency; information or reporting dependency,implementation initiated,none recorded,`src-dpmc-alert-level-implementation-2020`; `src-beehive-date-move-level-3-2020`,medium-high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-018,2020-04-20,enforcement and compliance,public-health policy and command; public-service system coordination; public-information coordination,"Police confirm visible compliance, cross-agency support, and education-first enforcement during extended Level 4",legal or compliance dependency; resource or logistics dependency; public-communication dependency,implementation observed,official guidance update; enforcement or compliance communication,`src-police-support-communities-level-4-2020`,high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-023,2020-04-21,emergency-management coordination,public-health policy and command; public-service system coordination; border-control coordination,local-authority and CDEM welfare-support criteria widened to meet immediate COVID-19 response needs,resource or logistics dependency; directive or authority dependency; information or reporting dependency,implementation initiated,none recorded,`src-dpmc-local-authority-welfare-support-2020`,high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-017,2020-04-23,enforcement and compliance,emergency-management coordination; public-service system coordination; public-information coordination,"Police clarify position on community checkpoints and partnership conditions with local authorities, CDEM managers, iwi, and communities",legal or compliance dependency; directive or authority dependency; public-communication dependency,official guidance update,official guidance update,`src-police-covid-checkpoints-2020`,high,sigma1; sigma2; sigma3
